sep=,
Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2014 [YR2014]
Afghanistan,AFG,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,35.1434593200684,39.6748008728027
Afghanistan,AFG,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,70.2937088012695,70.747200012207
Afghanistan,AFG,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,124.637321472168,130.687881469727
Afghanistan,AFG,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,85.3393096923828,91.7578735351563
Afghanistan,AFG,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..,3.67329001426697
Afghanistan,AFG,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,..,13.2865695953369
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,569.940728793286,633.947864294639
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.50583822732263,-1.71461102327001
Afghanistan,AFG,Income share held by third 20%,SI.DST.03RD.20,..,..
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,..,..
Afghanistan,AFG,Income share held by highest 20%,SI.DST.05TH.20,..,..
Afghanistan,AFG,Income share held by fourth 20%,SI.DST.04TH.20,..,..
Afghanistan,AFG,Income share held by second 20%,SI.DST.02ND.20,..,..
Afghanistan,AFG,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,48.6176717023803,48.4580889811546
Afghanistan,AFG,"Population, total",SP.POP.TOTL,27962207,31627506
Albania,ALB,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,87.9684066772461,92.6062164306641
Albania,ALB,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,88.8213195800781,100.025848388672
Albania,ALB,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,100.23983001709,113.698623657227
Albania,ALB,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,97.6955184936523,111.167259216309
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,52.3833694458008,73.8269577026367
Albania,ALB,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,37.4955101013184,52.4296112060547
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4094.35883191918,4568.56882650826
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.22616090713089,1.90547093552725
Albania,ALB,Income share held by third 20%,SI.DST.03RD.20,..,..
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,..,..
Albania,ALB,Income share held by highest 20%,SI.DST.05TH.20,..,..
Albania,ALB,Income share held by fourth 20%,SI.DST.04TH.20,..,..
Albania,ALB,Income share held by second 20%,SI.DST.02ND.20,..,..
Albania,ALB,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.5927644222734,50.2597523044106
Albania,ALB,"Population, total",SP.POP.TOTL,2913021,2893654
Algeria,DZA,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,98.8510818481445,..
Algeria,DZA,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,95.5539016723633,..
Algeria,DZA,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,119.412803649902,122.266510009766
Algeria,DZA,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,111.348159790039,115.122581481934
Algeria,DZA,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,35.3361396789551,41.9318809509277
Algeria,DZA,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,24.5007705688477,27.4673004150391
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4473.48644568115,5484.0668056148
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.77625878496099,1.80528098926762
Algeria,DZA,Income share held by third 20%,SI.DST.03RD.20,..,..
Algeria,DZA,Income share held by lowest 20%,SI.DST.FRST.20,..,..
Algeria,DZA,Income share held by highest 20%,SI.DST.05TH.20,..,..
Algeria,DZA,Income share held by fourth 20%,SI.DST.04TH.20,..,..
Algeria,DZA,Income share held by second 20%,SI.DST.02ND.20,..,..
Algeria,DZA,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.6301256746037,49.6776392784836
Algeria,DZA,"Population, total",SP.POP.TOTL,36036159,38934334
American Samoa,ASM,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..,..
American Samoa,ASM,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,..,..
American Samoa,ASM,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,..,..
American Samoa,ASM,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,..,..
American Samoa,ASM,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..,..
American Samoa,ASM,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,..,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..
American Samoa,ASM,Income share held by third 20%,SI.DST.03RD.20,..,..
American Samoa,ASM,Income share held by lowest 20%,SI.DST.FRST.20,..,..
American Samoa,ASM,Income share held by highest 20%,SI.DST.05TH.20,..,..
American Samoa,ASM,Income share held by fourth 20%,SI.DST.04TH.20,..,..
American Samoa,ASM,Income share held by second 20%,SI.DST.02ND.20,..,..
American Samoa,ASM,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,55636,55434
Andorra,ADO,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..,..
Andorra,ADO,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,..,..
Andorra,ADO,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,..,..
Andorra,ADO,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,..,..
Andorra,ADO,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..,..
Andorra,ADO,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,..,..
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,39641.746008498,..
Andorra,ADO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.16509318500468,..
